symbol,entry_date,exit_date,entry_price,exit_price,qty,pnl
GMDCLTD,2022-01-10 00:00:00+05:30,14-01-2022,80.85,109.85,148,4292
DEEPAKFERT,2022-01-17 00:00:00+05:30,19-01-2022,564.95,510.8,90,-4873.5
GREAVESCOT,2022-01-10 00:00:00+05:30,20-01-2022,209.4,249.65,169,6802.25
INDIACEM,2022-01-10 00:00:00+05:30,24-01-2022,250.1,212.5,317,-11919.2
REDINGTON,2022-01-10 00:00:00+05:30,24-01-2022,170.55,152.8,471,-8360.25
GMDCLTD,2022-01-10 00:00:00+05:30,24-01-2022,80.85,96,591,8953.65
GREAVESCOT,2022-01-10 00:00:00+05:30,25-01-2022,209.4,201.85,361,-2725.55
DEEPAKNTR,2022-01-10 00:00:00+05:30,25-01-2022,2595.7,2216,21,-7973.7
VINATIORGA,2022-01-10 00:00:00+05:30,03-02-2022,2100.7,1923.7,29,-5133
TIMETECHNO,2022-01-10 00:00:00+05:30,11-02-2022,38.9,37.1,1409,-2536.2
PRAJIND,2022-01-17 00:00:00+05:30,14-02-2022,427.15,349.85,89,-6879.7
BALRAMCHIN,2022-01-10 00:00:00+05:30,21-02-2022,419.9,393,195,-5245.5
TNPL,2022-03-21 00:00:00+05:30,05-04-2022,160.75,195,199,6815.75
CHENNPETRO,2022-03-21 00:00:00+05:30,05-04-2022,126.85,153.65,216,5788.8
TNPL,2022-03-21 00:00:00+05:30,02-05-2022,160.75,216.95,487,27369.4
CHENNPETRO,2022-03-21 00:00:00+05:30,02-05-2022,126.85,307.15,465,83839.5
ITC,2022-03-21 00:00:00+05:30,02-05-2022,207.1,222.95,615,9747.75
COROMANDEL,2022-03-21 00:00:00+05:30,02-05-2022,854.75,910.1,103,5701.05
VOLTAS,2022-03-21 00:00:00+05:30,02-05-2022,1288.7,1230.95,50,-2887.5
SOLARINDS,2022-03-28 00:00:00+05:30,09-05-2022,2731.1,2983.65,21,5303.55
UFLEX,2022-03-28 00:00:00+05:30,09-05-2022,595.65,611.05,76,1170.4
MHRIL,2022-03-28 00:00:00+05:30,09-05-2022,232.35,234.05,201,341.7
JSWSTEEL,2022-03-28 00:00:00+05:30,09-05-2022,730.1,678.35,56,-2898
KEI,2022-03-28 00:00:00+05:30,09-05-2022,1200.2,1146.7,22,-1177
VSTIND,2022-07-11 00:00:00+05:30,14-07-2022,300.2,279.4,281,-5844.8
SKFINDIA,2022-07-11 00:00:00+05:30,01-08-2022,1763.6,2067.9,15,4564.5
CUMMINSIND,2022-07-11 00:00:00+05:30,16-08-2022,1111.25,1261.85,25,3765
ASTERDM,2022-07-18 00:00:00+05:30,16-08-2022,218,203.45,185,-2691.75
HSCL,2022-07-11 00:00:00+05:30,22-08-2022,91.2,97.35,762,4686.3
SIEMENS,2022-07-11 00:00:00+05:30,22-08-2022,2038.25,2190.65,60,9144
SKFINDIA,2022-07-11 00:00:00+05:30,22-08-2022,1763.6,2148.7,35,13478.5
TIINDIA,2022-07-11 00:00:00+05:30,22-08-2022,2056.4,2112.35,31,1734.45
CUMMINSIND,2022-07-11 00:00:00+05:30,22-08-2022,1111.25,1201.75,52,4706
SUNTECK,2022-07-11 00:00:00+05:30,22-08-2022,507.05,465.2,95,-3975.75
CGPOWER,2022-07-11 00:00:00+05:30,22-08-2022,206.35,229.9,207,4874.85
ITI,2022-07-18 00:00:00+05:30,29-08-2022,117.35,112.7,302,-1404.3
BOSCHLTD,2022-07-18 00:00:00+05:30,29-08-2022,16366.15,17059.9,3,2081.25
RPOWER,2022-08-29 00:00:00+05:30,01-09-2022,16.3,20.15,1184,4558.4
BEML,2022-08-22 00:00:00+05:30,08-09-2022,915.9,768.6,94,-13846.2
RPOWER,2022-08-29 00:00:00+05:30,09-09-2022,16.3,19.2,2564,7435.6
DBCORP,2022-08-22 00:00:00+05:30,13-09-2022,110,134.85,310,7703.5
DBCORP,2022-08-22 00:00:00+05:30,19-09-2022,110,129.6,1086,21285.6
TRITURBINE,2022-08-29 00:00:00+05:30,19-09-2022,197.4,238.4,80,3280
CANFINHOME,2022-08-16 00:00:00+05:30,20-09-2022,616.05,565.35,95,-4816.5
ITDC,2022-08-29 00:00:00+05:30,26-09-2022,392.2,350.7,169,-7013.5
VAKRANGEE,2022-09-12 00:00:00+05:30,26-09-2022,40.3,35.95,1392,-6055.2
CENTURYPLY,2022-08-22 00:00:00+05:30,03-10-2022,666.8,629.25,135,-5069.25
TATACHEM,2022-08-22 00:00:00+05:30,03-10-2022,1087.5,1093.7,77,477.4
REDINGTON,2022-08-29 00:00:00+05:30,10-10-2022,149.05,140.95,374,-3029.4
TRITURBINE,2022-08-29 00:00:00+05:30,10-10-2022,197.4,260.55,169,10672.35
RCF,2022-08-29 00:00:00+05:30,10-10-2022,101.4,97.65,407,-1526.25
PFC,2022-11-21 00:00:00+05:30,01-12-2022,100.05,110.8,534,5740.5
SYNGENE,2022-10-31 00:00:00+05:30,07-12-2022,631.3,590.05,314,-12952.5
SONATSOFTW,2022-12-05 00:00:00+05:30,15-12-2022,294.7,270.4,307,-7460.1
NLCINDIA,2022-11-07 00:00:00+05:30,19-12-2022,80.1,91.5,1316,15002.4
BPCL,2022-12-12 00:00:00+05:30,22-12-2022,151.3,141.6,792,-7682.4
PFC,2022-11-21 00:00:00+05:30,23-12-2022,100.05,105.45,1119,6042.6
AUBANK,2022-12-12 00:00:00+05:30,06-01-2023,677.35,625.8,153,-7887.15
INDOCO,2022-12-05 00:00:00+05:30,16-01-2023,393.05,396.75,235,869.5
LINDEINDIA,2023-01-02 00:00:00+05:30,27-01-2023,3540.45,3228.35,38,-11859.8
SYNGENE,2023-04-17 00:00:00+05:30,28-04-2023,611.6,677,56,3662.4
IRCON,2023-04-24 00:00:00+05:30,02-05-2023,67.75,86.3,110,2040.5
MAHSEAMLES,2023-04-10 00:00:00+05:30,16-05-2023,380.6,453.5,106,7727.4
DLF,2023-04-17 00:00:00+05:30,16-05-2023,415.35,471.75,93,5245.2
JBCHEPHARM,2023-04-17 00:00:00+05:30,16-05-2023,1071.9,999.9,59,-4248
MAHSEAMLES,2023-04-10 00:00:00+05:30,22-05-2023,380.6,435.45,237,12999.45
MINDACORP,2023-04-10 00:00:00+05:30,22-05-2023,254.45,279.3,385,9567.25
JKCEMENT,2023-04-10 00:00:00+05:30,22-05-2023,2935.05,2979.5,42,1866.9
EXIDEIND,2023-04-17 00:00:00+05:30,23-05-2023,188.1,209.4,143,3045.9
DLF,2023-04-17 00:00:00+05:30,29-05-2023,415.35,482.65,198,13325.4
OBEROIRLTY,2023-04-17 00:00:00+05:30,29-05-2023,916.8,929.65,116,1490.6
SYNGENE,2023-04-17 00:00:00+05:30,29-05-2023,611.6,714.5,113,11627.7
EXIDEIND,2023-04-17 00:00:00+05:30,29-05-2023,188.1,208.45,307,6247.45
KRBL,2023-05-22 00:00:00+05:30,31-05-2023,411.6,364.7,184,-8629.6
EDELWEISS,2023-05-29 00:00:00+05:30,02-06-2023,46.45,36.75,1692,-16412.4
PRSMJOHNSN,2023-04-24 00:00:00+05:30,05-06-2023,123.55,122.55,304,-304
IRCON,2023-04-24 00:00:00+05:30,05-06-2023,67.75,80.05,380,4674
ASTRAL,2023-05-22 00:00:00+05:30,05-06-2023,1677.45,1884.85,14,2903.6
SUZLON,2023-06-05 00:00:00+05:30,07-06-2023,11.4,14.45,1453,4431.65
DIXON,2023-06-05 00:00:00+05:30,15-06-2023,3980.5,4577,5,2982.5
LUPIN,2023-05-22 00:00:00+05:30,21-06-2023,774.4,875.05,38,3824.7
NESCO,2023-05-22 00:00:00+05:30,03-07-2023,623.15,627.35,226,949.2
LUPIN,2023-05-22 00:00:00+05:30,03-07-2023,774.4,892.3,95,11200.5
ASTRAL,2023-05-22 00:00:00+05:30,03-07-2023,1677.45,1964.7,29,8330.25
HEROMOTOCO,2023-05-29 00:00:00+05:30,04-07-2023,2611.4,2858.1,18,4440.6
REPCOHOME,2023-06-05 00:00:00+05:30,05-07-2023,276.25,329.45,89,4734.8
HEROMOTOCO,2023-05-29 00:00:00+05:30,10-07-2023,2611.4,2949.7,44,14885.2
ITI,2023-05-29 00:00:00+05:30,10-07-2023,106.65,108.4,547,957.25
GILLETTE,2023-07-03 00:00:00+05:30,14-07-2023,5014.5,5662,7,4532.5
REPCOHOME,2023-06-05 00:00:00+05:30,17-07-2023,276.25,314.1,216,8175.6
SUZLON,2023-06-05 00:00:00+05:30,17-07-2023,11.4,18.2,4330,29444
KOLTEPATIL,2023-06-05 00:00:00+05:30,17-07-2023,344.05,385.05,181,7421
DIXON,2023-06-05 00:00:00+05:30,17-07-2023,3980.5,4333.35,13,4587.05
ECLERX,2023-06-05 00:00:00+05:30,17-07-2023,857.4,913.8,66,3722.4
ZEEL,2023-07-31 00:00:00+05:30,10-08-2023,237.37,276.55,206,8071.08
GILLETTE,2023-07-03 00:00:00+05:30,14-08-2023,5014.5,5350.5,19,6384
ZEEL,2023-07-31 00:00:00+05:30,11-09-2023,237.37,274.05,420,15405.6
IPCALAB,2023-07-31 00:00:00+05:30,11-09-2023,873.5,899.7,191,5004.2
IRB,2023-09-11 00:00:00+05:30,14-09-2023,17.08,15.92,10460,-12133.6
TNPL,2023-08-28 00:00:00+05:30,05-10-2023,265.4,254.8,541,-5734.6
BPCL,2023-11-20 00:00:00+05:30,30-11-2023,171.2,191.35,295,5944.25
RADICO,2023-11-12 00:00:00+05:30,04-12-2023,1386.6,1649.5,32,8412.8
HINDPETRO,2023-11-20 00:00:00+05:30,04-12-2023,179.1,224.15,167,7523.35
BDL,2023-12-04 00:00:00+05:30,18-12-2023,616.8,764.6,37,5468.6
RADICO,2023-11-12 00:00:00+05:30,19-12-2023,1386.6,1541.65,85,13179.25
WABAG,2023-11-12 00:00:00+05:30,26-12-2023,566.8,598.05,277,8656.25
HINDPETRO,2023-11-20 00:00:00+05:30,01-01-2024,179.1,239.15,512,30745.6
BPCL,2023-11-20 00:00:00+05:30,01-01-2024,171.2,208.6,616,23038.4
APOLLOTYRE,2023-11-20 00:00:00+05:30,01-01-2024,425.85,453.25,317,8685.8
BDL,2023-12-04 00:00:00+05:30,15-01-2024,616.8,877.85,113,29498.65
CASTROLIND,2023-12-26 00:00:00+05:30,17-01-2024,177.43,163.24,616,-8741.04
AMBUJACEM,2023-12-11 00:00:00+05:30,23-01-2024,504,525.05,230,4841.5
INDIACEM,2023-12-11 00:00:00+05:30,23-01-2024,269.5,235.35,242,-8264.3
AVANTIFEED,2024-01-15 00:00:00+05:30,23-01-2024,552.25,512.05,267,-10733.4
HFCL,2023-12-26 00:00:00+05:30,24-01-2024,85.8,105.65,208,4128.8
HERITGFOOD,2023-12-26 00:00:00+05:30,06-02-2024,303.4,316.5,389,5095.9
HFCL,2023-12-26 00:00:00+05:30,06-02-2024,85.8,103.5,585,10354.5
RAIN,2024-01-29 00:00:00+05:30,12-02-2024,186,170.9,1073,-16202.3
LINDEINDIA,2024-03-26 00:00:00+05:30,19-04-2024,6390.7,7372.75,7,6874.35
CARBORUNIV,2024-04-01 00:00:00+05:30,02-05-2024,1298.35,1506.6,32,6664
HINDZINC,2024-04-15 00:00:00+05:30,03-05-2024,407.25,470.1,84,5279.4
DMART,2024-03-26 00:00:00+05:30,07-05-2024,4486.2,4660.45,65,11326.25
LINDEINDIA,2024-03-26 00:00:00+05:30,07-05-2024,6390.7,7983.1,18,28663.2
KOLTEPATIL,2024-04-29 00:00:00+05:30,10-05-2024,548.15,486.5,62,-3822.3
CARBORUNIV,2024-04-01 00:00:00+05:30,13-05-2024,1298.35,1506.75,76,15838.4
ESCORTS,2024-04-29 00:00:00+05:30,16-05-2024,3287.35,3748.55,8,3689.6
BHARATFORG,2024-04-29 00:00:00+05:30,16-05-2024,1282,1483,16,3216
MUTHOOTFIN,2024-04-08 00:00:00+05:30,21-05-2024,1674.2,1703.4,67,1956.4
CUB,2024-04-22 00:00:00+05:30,22-05-2024,156.7,143.9,567,-7257.6
HINDZINC,2024-04-15 00:00:00+05:30,27-05-2024,407.25,706.9,216,64724.4
EMAMILTD,2024-05-21 00:00:00+05:30,30-05-2024,511.45,611.85,49,4919.6
BALKRISIND,2024-05-21 00:00:00+05:30,04-06-2024,3052.7,2897.55,76,-11791.4
JISLJALEQS,2024-05-21 00:00:00+05:30,04-06-2024,64.55,55,969,-9253.95
VARROC,2024-05-21 00:00:00+05:30,04-06-2024,581.05,512.9,137,-9336.55
ASTRAZEN,2024-05-27 00:00:00+05:30,04-06-2024,6432.8,5639.8,14,-11102
ESCORTS,2024-04-29 00:00:00+05:30,10-06-2024,3287.35,4051.9,18,13761.9
BHARATFORG,2024-04-29 00:00:00+05:30,10-06-2024,1282,1580.8,35,10458
AAVAS,2024-04-29 00:00:00+05:30,10-06-2024,1619.7,1735.3,34,3930.4
JKPAPER,2024-06-10 00:00:00+05:30,14-06-2024,419.4,490.8,95,6783
RCF,2024-06-10 00:00:00+05:30,20-06-2024,168.1,222.26,174,9423.84
RCF,2024-06-10 00:00:00+05:30,25-06-2024,168.1,189.18,557,11741.56
BLUEDART,2024-05-21 00:00:00+05:30,02-07-2024,7288.85,8218.15,20,18586
EMAMILTD,2024-05-21 00:00:00+05:30,02-07-2024,511.45,723.35,149,31573.1
LALPATHLAB,2024-05-27 00:00:00+05:30,08-07-2024,1316.2,1453.2,80,10960
JKPAPER,2024-06-10 00:00:00+05:30,09-07-2024,419.4,562.85,216,30985.2
DBCORP,2024-06-10 00:00:00+05:30,10-07-2024,306.8,384.85,76,5931.8
